,date,title,rating,body,model
0,4 May 2019,"Platina on, Garmi gone! Efficient cooler for normal sized room | Review | Tips",4.0,"Summer and air cooler goes synonymously. As temperatures went above bearing limit, there was need for cooler. My earlier cooler went bad last season only, so was waiting for another summer.On one of my friend’s recommendations I selected it along with few other models from other manufacturers like symphony, Crompton etc.Upon subsequent analysis wrt price point, features and utility, Bajaj platinic emerged on top, from among similar range products from other companies. Budget may be one of the strong factors governing your inclination.•••••••••••••••INSIDE BOX•••••••••••••••▶ Cooler▶ Manual▶ Warranty Card•••••••PROS•••••••1. Good looking, lightweight & portable.2. Good quality construction.3. Effective cooling for room size of 10x15ft.4. Honeycomb type cooling pads on three sides for effective cooling.5. Castor wheels (4nos) for easy relocation.6. Noise levels are in acceptable range.7. Good capacity water tank. Single fill lasts for full 12 hours continuous usage.8. Auto swing ensures uniform cooling of room, from right to left.9. Full plastic body means no issue like in all metal desert coolers, which rust after a while and start leaking at times.10. Easy mechanical water level indicator to let you know when tank is empty.11. Sufficiently long cable, approx. 1.5 metre. For more you require extension cord.••••••••CONS••••••••1. Installed honeycomb type pads are difficult to find. You need to settle for normal grass pads later on when these are clogged.2. Only 1 year warranty from here, while there’s 2 year warranty from online Bajaj store. But it’s slightly costly over there.3. Description shows four way air deflection but in actual vertical blades can be adjusted manually (all blades move simultaneously), while all horizontal blades move at once via auto swing motor.4. Locking knobs for side and back panels, are rough in operation.5. Manual details two models and confuses user without addressing specific variant.6. Water inlet is small if you intend to fill it mug by mug. Rest you can use pipe for one shot filling or remove panel to fill it directly by small bucket.For the cons, I am deducting 1 star. 4 STARS as the product fulfils its purpose in best possible way with some scope for improvement in other domains...•••••••••••••••••••••••KNOB CONTROLS•••••••••••••••••••••••Knob 1: Four positions- on/off cooler & control fan speed by 3 stepsKnob 2: Four positions- Pump & swing off, Pump on, Pump + Auto Swing On, Auto Swing On•••••••••••••••••••••••••••••••••AIR DIRECTION CONTROL•••••••••••••••••••••••••••••••••Vertical Blades: No auto swing, Manual adjustment, all blades move simultaneouslyHorizontal Blades: Auto swing, Knob control, All blades move simultaneouslySo in practice you can have air directed either up or down or front, with auto swing of vertical blades covering all zones as per manually set horizontal blades.••••••TIPS••••••1. Install cooler near window or door so that it can pump in some of fresh air from outside to have a control over humidity.2. Better if you can install it in balcony, facing window such that its 3 sides are able to suck in fresh air. Cover rest of window with cardboard or thermocole sheets for better insulation. It helps control humidity in room, as if it’s inside a closed room, it continuously adds moisture.3. Cross ventilation doubles the cooling effect. So if cooler on one corner, provide air escape route on other corner.3. Use ice cool water for faster cooling. You can manually add ice to it.4. Clean cooler once or twice a week. It ensures long life of cooler and hygiene too. Or it may soon become prominent breeding place for mosquitoes.5. Do have an eye on air quality. If theres lot of water droplets along with air, get it checked or it may cost you coolers motor in long run, as it may burn.6. END OF SEASON TIP: To ensure long life of cooler, completely clean and dry it before storage. Then add few drops of oil to shaft of motor and store it. This way your cooler will be ready to cool upon unpack from last season or else you may end up your cooler in repair shop.•••••••••••••••••••FINAL VERDICT•••••••••••••••••••▶Not a bad deal for the price and performance. You don’t find many coolers in this range with good water capacity.▶Symphony coolers may be slightly better in cooling performance but in this price range their water capacity is too low and during a day you may need to fill it 3-4 times.",Old Model
1,6 March 2023,Noise level,4.0,"Overall product is great , at this price you couldn’t get more cooling.Normal water will have minimal cooling effect , if u want more cooling can use cold water.There is no option for ice chamber ( although it is mentioned in the user guide)Only con that i see is : noise level is little higher ( it was mentioned as similar to ceiling fan by couple of youtube reviews) this could have been less then would have been 5 star.Will use and edit the review after few months.",New Model
2,22 March 2023,Superb,4.0,Very good product ☺️ superrrr,New Model
3,22 March 2023,OK,4.0,this product is good it is bajaj one.,New Model
4,19 March 2023,"Im okey with this, never loose your Money",4.0,"The media could not be loaded.
                



 With this budget Satisfied. Producing cool wind., looking also good.  noise level is little high but not disturbed. Well packed and recently manufactured item delivered. THANKS",New Model
5,17 March 2023,It's good and easy to used. Noise level high,4.0,,New Model
6,17 March 2023,Worthy for value,4.0,,New Model
7,15 March 2023,Good,4.0,Good,New Model
8,19 March 2023,Damaged product received,4.0,"The media could not be loaded.
                



 Damaged product receivedUpper side cracked liningProduct running quality very goodBut only replacing due to the crack line",New Model
9,13 March 2023,Comfortable product,4.0,Nice product comfortable regular easy moving,New Model
